,c,g
1329,12627,1185
1330,9066,1186
1331,9049,1186
1332,11264,1186
1333,10982,1187
1334,12909,1187
1335,13640,1187
1336,3401,1188
1337,6115,1188
1338,1570,1188
1339,10167,1189
1340,10711,1189
1341,8172,1189
1342,9268,1190
1343,9005,1190
1344,5486,1190
1345,8594,1191
1346,11161,1191
1347,7739,1191
1348,10129,1192
1349,8636,1192
1350,12427,1192
1351,12652,1193
1352,10327,1193
1353,10761,1193
1354,7162,1194
1355,1290,1194
1356,7561,1194
1357,330,1195
1358,12717,1195
1359,12474,1196
1360,322,1196
1361,276,1197
1362,10664,1197
1363,13522,1198
1364,11821,1198
1365,11088,1198
1366,2968,1199
1367,5337,1199
1368,13689,1199
1369,8660,1200
1370,2202,1200
1371,11125,1201
1372,10455,1201
1373,9788,1201
1374,11846,1202
1375,9801,1202
1376,12164,1202
1377,11946,1203
1378,7798,1203
1379,14577,1204
1380,13100,1204
1381,14145,1204
1382,8390,1205
1383,6882,1205
1384,2573,1205
1385,6669,1206
1386,8015,1206
1387,3879,1206
1388,10253,1207
1389,12333,1207
1390,7462,1207
1391,10970,1208
1392,11320,1208
1393,12085,1208
1394,10195,1209
1395,10876,1209
1396,7468,1209
1397,10921,1210
1398,12885,1210
1399,870,1210
1400,14409,1211
1401,13606,1211
1402,12997,1211
1403,12601,1212
1404,13227,1212
1405,7884,1212
1406,14282,1213
1407,12648,1213
1408,14308,1213
1409,11489,1214
1410,7035,1214
1411,7697,1214
1412,8008,1215
1413,9693,1215
1414,10914,1215
1415,10215,1216
1416,5094,1216
1417,8924,1216
1418,12881,1217
1419,8181,1217
1420,9189,1218
1421,6854,1218
1422,8154,1218
1423,7264,1219
1424,4271,1219
1425,332,1220
1426,10574,1220
1427,10800,1220
1428,5473,1221
1429,7625,1221
1430,2059,1221
1431,11227,1222
1432,10471,1222
1433,11588,1222
1434,4806,1223
1435,8309,1223
1436,13428,1224
1437,9919,1224
1438,9152,1224
1439,8814,1225
1440,7826,1225
1441,6822,1225
1442,128,1226
1443,151,1226
1444,13503,1226
1445,11289,1227
1446,6145,1227
1447,5768,1227
1448,13628,1228
1449,13156,1228
1450,4834,1228
1451,14189,1229
1452,12921,1229
1453,314,1229
1454,11531,1230
1455,6726,1230
1456,12347,1230
1457,10181,1231
1458,12775,1231
1459,10976,1231
1460,10529,1232
1461,12550,1232
1462,8801,1232
1463,12103,1233
1464,10818,1233
1465,11935,1233
1466,12547,1234
1467,13401,1234
1468,5668,1234
1469,6413,1235
1470,11429,1236
1471,26,1236
1472,10914,1236
1473,13760,1237
1474,12507,1237
1475,11258,1237
1476,11339,1238
1477,13242,1238
1478,11068,1238
1479,9642,1239
1480,13310,1239
1481,10923,1239
1482,14262,1240
1483,13935,1240
1484,13139,1240
1485,7372,1241
1486,4859,1241
1487,199,1242
1488,14276,1242
1489,13954,1242
1490,5833,1243
1491,7534,1243
1492,4603,1244
1493,8993,1244
1494,6220,1244
1495,9530,1245
1496,9410,1245
1497,9686,1245
1498,11021,1246
1499,10597,1246
1500,8325,1246
1501,9961,1247
1502,6917,1248
1503,7004,1248
1504,11408,1248
1505,12119,1249
1506,12324,1249
1507,14550,1249
1508,8738,1250
1509,6995,1250
1510,8768,1250
1511,4702,1251
1512,2109,1251
1513,13871,1252
1514,9300,1252
1515,11501,1252
1516,5360,1253
1517,5856,1253
1518,8792,1253
1519,13692,1254
1520,12140,1254
1521,12538,1254
1522,13907,1255
1523,6644,1255
1524,236,1255
1525,9493,1256
1526,10223,1256
1527,4105,1256
1528,11014,1257
1529,12379,1257
1530,6131,1257
1531,12823,1258
1532,10516,1258
1533,13451,1259
1534,269,1259
1535,76,1259
1536,11336,1260
1537,11094,1260
1538,175,1260
1539,5618,1262
1540,8169,1262
1541,7196,1262
1542,13418,1263
1543,14111,1263
1544,14169,1263
1545,8796,1264
1546,11773,1264
1547,14696,1265
1548,13837,1265
1549,8248,1265
1550,13840,1266
1551,12419,1266
1552,58,1266
1553,10398,1267
1554,11458,1267
1555,9964,1267
1556,12495,1268
1557,141,1268
1558,13403,1268
1559,10679,1269
1560,6008,1269
1561,8305,1269
1562,9816,1270
1563,9717,1270
1564,7849,1270
1565,8170,1271
1566,1336,1271
1567,4584,1271
1568,2751,1272
1569,12801,1273
1570,11794,1273
1571,9627,1273
1572,11936,1274
1573,4063,1274
1574,7392,1274
1575,9690,1275
1576,10398,1275
1577,7784,1275
1578,13648,1276
1579,11479,1276
1580,9468,1276
1581,8524,1277
1582,9219,1277
1583,8621,1277
1584,11355,1278
1585,8017,1278
1586,4950,1278
1587,11539,1279
1588,1272,1279
1589,3608,1279
1590,13760,1280
1591,13098,1280
1592,11809,1280
1593,12425,1281
1594,13531,1281
1595,7612,1282
1596,1649,1282
1597,11966,1283
1598,12686,1283
1599,10896,1283
1600,12410,1284
1601,11293,1284
1602,7787,1284
1603,11594,1285
1604,11496,1285
1605,3901,1285
1606,10517,1286
1607,5150,1286
1608,11404,1286
1609,11043,1287
1610,10981,1287
1611,126,1288
1612,8492,1288
1613,8657,1288
1614,126,1289
1615,10631,1289
1616,11088,1289
1617,14620,1290
1618,13878,1290
1619,14563,1290
1620,14671,1291
1621,11962,1291
1622,10844,1291
1623,12705,1292
1624,10735,1292
1625,9297,1292
1626,11841,1293
1627,10231,1293
1628,12713,1293
1629,11841,1294
1630,12713,1294
1631,13736,1294
1632,12602,1295
1633,14569,1295
1634,14414,1295
1635,10806,1296
1636,12680,1296
1637,13161,1296
1638,9040,1297
1639,9934,1297
1640,10946,1297
1641,8548,1298
1642,10068,1298
1643,9561,1298
1644,11846,1299
1645,11044,1299
1646,10661,1299
1647,445,1300
1648,7520,1300
1649,11423,1300
1650,14088,1301
1651,12712,1301
1652,14255,1301
1653,11474,1302
1654,13246,1302
1655,3678,1302
1656,11782,1303
1657,12048,1303
1658,192,1304
1659,10301,1304
1660,6421,1304
1661,10915,1305
1662,6915,1305
1663,5273,1305
1664,14352,1306
