category,appellation,name,variety,price,bottle_size,points,winery,description,alcohol
Red,US,Dominio IV 2012 Three Sleeps Vineyard Technicolor Bat Red (Columbia Gorge (OR)),Red Blend,23.0,750 ml,91,Dominio IV,"This biodynamic vineyard delivers a robust mix of flavors for the price. Licorice, coffee liqueur, smoke, char and chocolate-coated cherries are all included. The wine seems to float across the palate, without much weight, but the flavors persist, clean and interesting. Principally, it's Tempranillo (81%), but the Syrah pulls it together.",13.8%
Red,US,Beaulieu Vineyard 2013 Tapestry Reserve Red (Napa Valley),Bordeaux-style Red Blend,65.0,750 ml,91,Beaulieu Vineyard,"This wine is soft and subdued, inviting in its full-bodied embrace of vanilla. With all five red Bordeaux varieties involved, it makes an impact, showcasing rich red berry, cassis and cherry, while a dusting of clove spice finds length on the finish.",14.8%
Red,US,Beaulieu Vineyard 2013 Reserve Clone 4 Cabernet Sauvignon (Rutherford),Cabernet Sauvignon,165.0,750 ml,91,Beaulieu Vineyard,"Dense, with a substantial amount of tannin and oak upfront, this clone designate, 100% varietal, is chalky in texture and showy in oak. Red currant, cedar and an unfurling of tobacco leaf provide fruit and savory herbaceousness.",14.7%
White,US,Wm. Harrison 2015 Sangiacomo Family Vineyards Chardonnay (Carneros),Chardonnay,38.0,750 ml,91,Wm. Harrison,"Sparkling richness stars in this concentrated, ultimately balanced wine, which offers a warming note of pear compote and peach within subtle waves of toasted oak. The lushly cradled fruit is awash in anise and fennel.",14.1%
Red,US,Prospect 772 2014 The Brat Grenache (Calaveras County),Grenache,36.0,750 ml,91,Prospect 772,"Deliciously fruity but also well-structured, this full-bodied wine has excellent concentration and good balance. Effusive aromas of blueberry and black cherry lead to opulent but not overripe berry flavors that are lightly accented by clove and cinnamon nuances.",14.8%
Red,US,Phelps Creek 2014 Cuve Alexandrine Pinot Noir (Columbia Gorge (OR)),Pinot Noir,54.0,750 ml,91,Phelps Creek,"Elegance and finesse are the touchstones here, with the scaffolding to age for decades. Tight and precise, it shows pomegranate and red-berry fruit, stiff and potent tannins, and plenty of supporting acidity. Drink 2020 to 2030 and beyond.",13.9%
Red,US,Mt. Brave 2013 Cabernet Franc (Mount Veeder),Cabernet Franc,75.0,750 ml,91,Mt. Brave,"A 100% varietal wine from the wilds of the appellation, this wine shows a pretty range of violet and dusty sage. Concentrated in fruit and girth with a bright backbone of acidity, it finishes in earthy forest floor and chocolate.",14.5%
Red,US,Maysara 2012 Momtazi Vineyard Rumi Pinot Noir (McMinnville),Pinot Noir,65.0,750 ml,91,Maysara,"All whole cluster fermented, this was given 22 months in neutral wood. It remains fresh and clean, with berry and cherry fruit flavors, and a moderately sweet candy impression. There's a touch of wet rock also, and a textural, persistent finish. Drink now through 2023.",13.8%
Red,US,J. Christopher 2014 Pinot Noir (Willamette Valley),Pinot Noir,29.0,750 ml,91,J. Christopher,"Forward, fruity and flavorful, this is a quite pretty compendium of raspberry and cherry fruit, accented with a touch of orange peel. As with J. Christopher's pricier cuves, it spent 18 months in one-quarter new French oak. Though labeled simply Willamette Valley, the fruit was sourced principally from the prestigious Dundee Hills AVA.",13.5%
White,US,Y Rousseau 2015 Barrel Fermented Old Vines French Colombard (Russian River Valley),Colombard,24.0,750 ml,91,Y Rousseau,"From decades-old, dry-farmed vines, the wine then 100% barrel fermented, this vintage the grapes were picked particularly early and were still quite rich and full, prompting this experimentation. Lemony bright, floral aromas and flavors meet a lean, refreshing body of apricot and green apple, a pleasant experience from start to finish.",12.5%
Red,US,Sojourn 2015 Gap's Crown Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,69.0,750 ml,91,Sojourn,"Tight-grained tannin plays a supporting role to this wine's undeniable earthiness, a mix of compost and wild mushroom. Subtle on the nose, the savory character gives way eventually to a density and concentration of brighter flavors, from cherry and citrus to spiky pine.",14.6%
Red,US,Argot 2013 Madras Steiner Vineyard Pinot Noir (Sonoma Mountain),Pinot Noir,50.0,750 ml,91,Argot,"Funky in spearmint and a carbonic notion of freshness, this wine offers cranberry and barely ripe strawberry, adding to its sense of delicacy. Mild shakes of white pepper play on the palate, as the finish finds a bolder weight of tannin.",13.7%
Red,US,Sbragia 2013 Andolsen Vineyard Cabernet Sauvignon (Dry Creek Valley),Cabernet Sauvignon,42.0,750 ml,91,Sbragia,"Leather meets plum sauce meets red licorice in this full-bodied, robustly crafted wine that's plush and lush on the palate. Seismic tannins present themselves upfront in a confrontational way before softening on the finish.",14.7%
Red,US,Conn Creek 2013 El Adobo Ranch Vineyard Cabernet Sauvignon (Chiles Valley),Cabernet Sauvignon,90.0,750 ml,91,Conn Creek,"Big tannins support the layers of extracted, concentrated fruit that leans red into cherry, cassis and currant. Char and vanilla speak for the oak.",14.5%
Red,US,Clay Pigeon 2013 Syrah (Rogue Valley),Syrah,30.0,750 ml,91,Clay Pigeon,"This dark satiny wine offers deep flavors of black cherry, along with notes of toffee, smoke, charred wood and granite. The balance is perfect, and the tannins, though chewy, are fully ripened.",13.5%
Red,US,Argot 2013 Madras Steiner Vineyard Pinot Noir (Sonoma Mountain),Pinot Noir,50.0,750 ml,91,Argot,"Funky in spearmint and a carbonic notion of freshness, this wine offers cranberry and barely ripe strawberry, adding to its sense of delicacy. Mild shakes of white pepper play on the palate, as the finish finds a bolder weight of tannin.",13.7%
Red,US,Silverpoint Cellars 2012 Red (Napa Valley),Bordeaux-style Red Blend,60.0,750 ml,91,Silverpoint Cellars,"Juicy red and black berry define this blend of 60% Cabernet Sauvignon, 15% Merlot, 15% Petit Verdot and 10% Cabernet Franc. Pillowy tannins support a likably ripe expression of extracted juiciness and strong flavor.",14.5%
Red,US,Skinner 2013 Syrah (El Dorado),Syrah,28.0,750 ml,91,Skinner,"A crazy-good combo of lavender, espresso and baking spice flavors make this full-bodied wine fascinating to taste. It's deeply colored, aromatic and tannic, but not heavy. The wine has a vivid stamp of spicy oak, with enough lavish blackberry and black cherry behind it for balance.",14.2%
Red,US,Joseph Phelps 2014 Freestone Vineyards Estate Grown Pinot Noir (Sonoma Coast),Pinot Noir,55.0,750 ml,91,Joseph Phelps,"Light and vibrantly high in integrated acidity, this wine is complex and savory, but white pepper is a constant. Along the nuanced layers are an earthy patch of wild strawberry and cardamom that persists elegantly on the palate.",14.1%
White,US,Grgich Hills 2014 40th Anniversary Estate Grown Chardonnay (Napa Valley),Chardonnay,50.0,750 ml,91,Grgich Hills,"Youthfully wound up, this wine celebrates the winery's founding in 1977. A waft of nutty marzipan opens the gate to a wonderland of lemon, apple, pear and pineapple, the acidity supportive in lending a refreshing backbeat to the fruit.",14.1%
Red,US,Grgich Hills 2012 Miljenko's Selection Estate Grown Petite Sirah (Calistoga),Petite Sirah,65.0,750 ml,91,Grgich Hills,"This 100% varietal wine opens in a whirl of compost and earthy truffle, finding a perfume of fresh-roast coffee, as firm, structured tannins give it definition. Blueberry cobbler and more of that coffee combine on the palate in a dense and powerful experience of ripe flavor. Enjoy best 2022 through 2032.",15.4%
White,US,Freemark Abbey 2015 Chardonnay (Napa Valley),Chardonnay,30.0,750 ml,91,Freemark Abbey,"A pretty ribbon of gardenia opens the nose of this rich, concentrated wine, creamy in texture with a viscosity of vanilla and oak. The richness continues in deep caramel notes, as baked pear provides fruit and nuance.",14.5%
Red,US,Expression 38 2014 Gunsalus Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,50.0,750 ml,91,Expression 38,"Juicy black cherry and strawberry flirt with this vineyard-designate's sultry and dense earthiness, combining two sides of the equation with a deft hand. Tea, sage and robust tannins give it depth and breadth across the palate, as tingling acidity keeps it fresh.",14.5%
Red,US,Von Strasser 2013 Vineyard 2131 Cabernet Sauvignon (Diamond Mountain District),Cabernet Sauvignon,80.0,750 ml,91,Von Strasser,"With a handful of Malbec, this red is spicy in Red Hots-like cinnamon, both on the nose and initial palate. From there, it shows bittersweet tea, dried herb, cedar and forest floor, lightly layered in red fruit as it opens. Approachable, soft and structured, it manages the tannins to be firm and defined.",14.1%
Red,US,Silverpoint Cellars 2012 Red (Napa Valley),Bordeaux-style Red Blend,60.0,750 ml,91,Silverpoint Cellars,"Juicy red and black berry define this blend of 60% Cabernet Sauvignon, 15% Merlot, 15% Petit Verdot and 10% Cabernet Franc. Pillowy tannins support a likably ripe expression of extracted juiciness and strong flavor.",14.5%
White,US,Y Rousseau 2015 Barrel Fermented Old Vines French Colombard (Russian River Valley),Colombard,24.0,750 ml,91,Y Rousseau,"From decades-old, dry-farmed vines, the wine then 100% barrel fermented, this vintage the grapes were picked particularly early and were still quite rich and full, prompting this experimentation. Lemony bright, floral aromas and flavors meet a lean, refreshing body of apricot and green apple, a pleasant experience from start to finish.",12.5%
Red,US,Conn Creek 2013 El Adobo Ranch Vineyard Cabernet Sauvignon (Chiles Valley),Cabernet Sauvignon,90.0,750 ml,91,Conn Creek,"Big tannins support the layers of extracted, concentrated fruit that leans red into cherry, cassis and currant. Char and vanilla speak for the oak.",14.5%
Red,US,Expression 38 2014 Gunsalus Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,50.0,750 ml,91,Expression 38,"Juicy black cherry and strawberry flirt with this vineyard-designate's sultry and dense earthiness, combining two sides of the equation with a deft hand. Tea, sage and robust tannins give it depth and breadth across the palate, as tingling acidity keeps it fresh.",14.5%
Red,US,Paul O'Brien 2014 Susan's Vineyard Pinot Noir (Umpqua Valley),Pinot Noir,45.0,750 ml,91,Paul O'Brien,"Fermented in concrete and aged for 14 months in one-quarter new French oak, this wine sneaks up on you. Anyone who has tasted wines direct from concrete will note that they often have a certain flavor of concrete, or mineral if you will, and a nice texture to the mouthfeel. That's here, along with tight pomegranate fruit and plenty of acid. But the barrel aging shows also, coming up in the finish as a ring of butterscotch around the fruit.",13%
Red,US,Rsonance 2014 Dcouverte Vineyard Pinot Noir (Dundee Hills),Pinot Noir,65.0,750 ml,92,Rsonance,"Tart and sappy, this compelling wine wraps its bright raspberry and cherry fruit in a veil of citrus and caramel. The various flavors entwine gracefully, with excellent balance and length. It's still young and forward, with primary flavors, but has the potential to age over the next decade.",13.7%
Red,US,Dragonette 2014 Duvarita Vineyard Pinot Noir (Santa Barbara County),Pinot Noir,60.0,750 ml,92,Dragonette,"From a vineyard that's actually west of the already coastal Sta. Rita Hills, this wine offers rounded red fruits of strawberry, plum and even watermelon on the nose, along with cinnamon and graphite touches. The palate combines cherries, hibiscus, rose petals and tangy cranberry, sailing through herbal touches into a dried mint flavor that carries deep into the finish.",13.4%
Red,US,Nicholson Ranch 2014 Dry Farmed Estate Pinot Noir (Sonoma Coast),Pinot Noir,80.0,750 ml,92,Nicholson Ranch,"Black licorice and compost add life and breadth to this roundly tannic, richly layered wine. Huckleberry and dark cherry give it a welcome fruitiness that's ripe and lush, as vanilla and cardamom complement the fruit.",14.7%
Red,US,Martin Ranch 2010 Thrse Vineyards Dos Nias Vineyard Nebbiolo (Santa Clara Valley),Nebbiolo,35.0,750 ml,92,Martin Ranch,"This bottling exhibits all of the classic aromas expected from Nebbiolo: tar, rose, dried cherry, sandalwood and cola. The palate offers much of the same, with dried mulberry and rooibos tea touches. The acidity is strong and the tannins are polished but still very structural. Drink now2023.",14%
Red,US,Chamisal Vineyards 2014 Morrito Estate Grown Pinot Noir (Edna Valley),Pinot Noir,100.0,750 ml,92,Chamisal Vineyards,"Dense aromas of black plum syrup, star anise and purple flowers show on the nose of this top-end bottling by a pioneering Edna Valley producer. Tart boysenberry shows on the sip, but the prominent flavors are more forest floor-driven, with woody bay leaf and juniper spices.",14.2%
Red,US,Testarossa 2015 Sanford & Benedict Pinot Noir (Sta. Rita Hills),Pinot Noir,65.0,750 ml,92,Testarossa,"Deep black cherry, sarsaparilla and vanilla show on the full and hearty nose of this bottling from the historic vineyard that was planted in the 1970s. It's tightly woven on the palate, with earthy spice and dark red fruits. The acidity holds crisp deep into the finish.",14.4%
Red,US,Rex Hill 2014 Antiquum Farm Vineyard Pinot Noir (Willamette Valley),Pinot Noir,55.0,750 ml,92,Rex Hill,"This is the first year for this cuve, and it's off to a great start. Coffee and chocolate flavors surround soft smooth blueberry and cherry fruit. There's a spicy pop to the midpalate, and the wine sails into a smooth and delicious finish.",14.5%
Red,US,Gramercy 2014 Lagniappe Syrah (Columbia Valley (WA)),Syrah,60.0,750 ml,92,Gramercy,"Brooding aromas of fresh herb, flowers, plum and piercingly pure red fruit lead to an elegant pillowy palate. It shows an impeccable sense of balance along with a lingering finish.",14.1%
Red,US,Galvan 2013 Saffron Vineyard Cabernet Sauvignon (Mount Veeder),Cabernet Sauvignon,85.0,750 ml,92,Galvan,"Racy acidity is the key to this wine's explosive succulence and impressive structure and likability, a study in detailed winemaking. Full-bodied, it hides its weight, highlighted in wild strawberry, currant and leathery black pepper.",14.5%
Red,US,Foxen 7200 2014 Grassini Family Vineyard Cabernet Sauvignon (Happy Canyon of Santa Barbara),Cabernet Sauvignon,52.0,750 ml,92,Foxen 7200,"This bottling from one of the showcase vineyards in this eastern region of the Santa Ynez Valley shows a very cohesive and well-integrated nose, combining dried red and purple flowers with licorice, dill, nettle and boysenberry. The palate's solid and persistent acidity frames flavors of plump black plum and mocha.",14%
Red,US,DeLille 2014 Quintessence Malbec-Cabernet Sauvignon (Red Mountain),Malbec-Cabernet Sauvignon,55.0,750 ml,92,DeLille,"Malbec makes up just over two-thirds of this blend, with the balance Cabernet. Aromas of bay leaf, plum, green herb and barrel spice are followed by sweet lush fruit flavors that bring a sense of layering and density. Give it some time to open up.",14.2%
Red,US,Black Stallion 2013 Transcendent Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,150.0,750 ml,92,Black Stallion,"This is a full-bodied, densely packed and muscular wine, concentrated in tar, chocolate, leather and tobacco leaf. Black pepper-laced tannins fill the palate alongside a generosity of bold, brambly black cherry and blackberry, begging for more time in the bottle. Enjoy best from 2023 through 2025.",15.5%
Red,US,Willowbrook 2014 Pinot Noir (Russian River Valley),Pinot Noir,24.0,750 ml,92,Willowbrook,"This light-bodied, surprisingly affordable wine surprises in its lightness of color and texture, its character driven by high-strung elements of pomegranate and tangerine. On the more savory side, expect nuances of earthy mint, bay leaf and white pepper.",13.7%
Red,US,Vine Cliff 2013 Private Stock 16 Rows Cabernet Sauvignon (Oakville),Cabernet Sauvignon,150.0,750 ml,92,Vine Cliff,"Intensely earthy and dense, this is a rustic undertaking, tannic and bittersweet, with a powerful savory side, defined by black tar, tobacco and smoked meat. The finish takes a different turn, a true partnership between vanilla and chocolate.",14.4%
Red,US,Tumwater 2014 Reserve Pinot Noir (Eola-Amity Hills),Pinot Noir,35.0,750 ml,92,Tumwater,"This was sourced from Bethel Heights, which is a very good source indeed. It's packed with pure tangy red-berry fruit. The mouthfeel is lively, the length and concentration well above par. It's sappy and bright, with a light touch of new oak showing. Drink 20182028.",13.8%
Red,US,The Eyrie Vineyards 2014 Sisters Pinot Noir (Dundee Hills),Pinot Noir,45.0,750 ml,92,The Eyrie Vineyards,"The winery's vineyards are now being showcased in a series of designates. Sisters includes the three Pinot sistersBlanc, Gris and Noirin a site just below Archery Summit in the heart of the Dundee Hills. It's clean, compact, complex and nicely layered. You'll note a spicy mix of cranberry, raspberry and red licorice, along with more subtle hints of curaao and chocolate. The structure (and winery history) suggest that this will age quite well. Drink 2018 to 2030 and beyond.",13%
White,US,Smith-Madrone 2014 Estate Bottled Chardonnay,Chardonnay,32.0,750 ml,92,Smith-Madrone,"From the producer's dry-farmed mountain vineyard, this wine is crafted from vines planted some 40 years ago. Peach, fig and pear wrap around this medium-weight wine's integrated oak and gravelly texture. The acidity is bright, uplifting and lush enough to find complete balance.",14.3%
White,US,Testarossa 2015 Soberanes Vineyard Chardonnay (Santa Lucia Highlands),Chardonnay,49.0,750 ml,92,Testarossa,"Very broad but also complete and elegant aromas show on this bottling, including Asian pear, yellow apple, Meyer lemon, wet stone and a touch of browned butter. The mouthfeel is very tense though not overly sharp in acidity, with lemon and key lime citrus. That tension holds deep into the sip.",14.2%
Red,US,Sojourn 2015 Sangiacomo Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,59.0,750 ml,92,Sojourn,"Earth, mushroom and forest floor intrigue from sip one in this thick, densely structured effort from the great site. Cardamom, pine needle and cranberry contribute additional intrigue and spiciness to the palate, which is buoyed by bright, lengthy acidity and integrated oak.",14.5%
Red,US,Shea 2014 West Hill Pinot Noir (Willamette Valley),Pinot Noir,66.0,750 ml,92,Shea,"This chocolatey sexy wine tastes of cherries and sandalwood, with a strong dark chocolate note. A hint of pine needles comes out in the bouquet, and although it's already drinking well, it will surely improve with a few more years of bottle age.",14.8%
Red,US,Ravenswood 2014 Dickerson Single Vineyard Zinfandel (Napa Valley),Zinfandel,37.0,750 ml,92,Ravenswood,"This is a lovely vineyard-designate, brawny and bold and completely floral. Brambly blackberry is met by plum and raisin as a leathery texture provides grit and brawn. Spicy black pepper and cinnamon season the finish.",14.9%
Red,US,Paraduxx 2013 X2 Estate Red (Napa Valley),Red Blend,95.0,750 ml,92,Paraduxx,"A blend of 85% Cabernet Sauvignon, 10% Zinfandel and 5% Petit Verdot, a block and barrel selection of the producer's best lots, this is a well-made, impressive wine. Leather saddle and robust tannin is accented by dried herb, espresso and smoke, making for a burly explosion of blackberry and cherry.",14.5%
Red,US,Law 2013 Intrepid Syrah (Paso Robles),Syrah,750.0,750 ml,92,Law,"This is a powerful bottling, as is expected by this producer, showing fresh boysenberry, purple flower potpourri, tart black plums and a touch of rosemary on the nose. It's undeniably delicious at first sip, with caramelized blackberry and hints of thyme and rosemary. The texture is squeaky and sticky, and it's a bit sweet and boozy, but a definite Paso crowd-pleaser.",15.5%
Red,US,Shea 2014 Pommard Clone Pinot Noir (Willamette Valley),Pinot Noir,66.0,750 ml,92,Shea,"A varied mix of fruitscitrus, apple, raspberry and cherryaccompany this wine's tannic note of breakfast tea. It's a bit on the astringent side, with a dollop of nougat and almond paste adding nice highlights through the finish.",13.6%
Red,US,Prospect 772 2014 Black Tie Charlie Red (California),Red Blend,27.0,750 ml,92,Prospect 772,"This imposing and extremely ripe tasting wine has an inky dark color, aromas of ripe black cherries, flavors of cassis, espresso and bitter chocolate and a very firm, tannic texture to support all that opulence. Made from half Petite Sirah and half Syrah, it's a no-holds-barred feast of fruit and power.",15.5%
Red,US,Prime Solum 2013 Brokenrock Vineyard Cabernet Franc (Napa Valley),Cabernet Franc,79.0,750 ml,92,Prime Solum,"Dusty herb and cedar dot the landscape of this well-made, tiny-production wine, that shows plenty of varietal character. A juicy core of cassis is buoyed by tingling acidity, keeping the full-bodied character refreshing and food-friendly.",14.5%
Red,US,Patel 2013 Malbec (Napa Valley),Malbec,125.0,750 ml,92,Patel,"This is a celebratory taste of blueberry pie that's silky smooth and additionally complex in vanilla, leather and dark chocolate. Luxuriously soft, it finds a way to mellow its tannins without sacrificing power or concentration.",14.6%
Red,US,Joseph Jewell 2013 Hallberg Vineyard Pinot Noir (Russian River Valley),Pinot Noir,50.0,750 ml,92,Joseph Jewell,"This comes from a dry-farmed site, all the better to coax out its stony minerality and delicate aromas of rose garden an d geranium. Fully expressive, it's voluptuous and lushly balanced, offering wild strawberry and tons of forest floor.",14.27%
White,US,Fulcrum 2015 Durell Vineyard Chardonnay (Sonoma Coast),Chardonnay,55.0,750 ml,92,Fulcrum,"There's a salty, gravelly stone character to this medium-bodied wine that largely defines it, marking the grapes original home in the vineyard's Sand Hill block, planted entirely to one Dijon clone. Caramel apple meets a complement of crisper green apple, finding balance and grace in the glass.",14.2%
Red,US,Davis Family 2014 Campbell Ranch Pinot Noir (Sonoma Coast),Pinot Noir,65.0,750 ml,92,Davis Family,"From the outer reaches of Annapolis, where the ocean likes to assert itself, this wine is cloudy and stemmy, with a lively, carbonic-like freshness. Roses and citrus play off each other in complex, complicated ways, allowing the firm, present tannins to relax. Black tea and anise complete the picture.",14.1%
White,US,Cristom 2015 Estate Viognier (Eola-Amity Hills),Viognier,30.0,750 ml,92,Cristom,"This wine is textbook New World Viognierbright, focused and balanced, with sassy fruit flavors of citrus and apricot. The aromatics conjure up subtle notes of citrus rind and jasmine flowers, and the overall length and concentration are as good as it gets.",14%
Red,US,Bien Nacido 2013 Syrah (Santa Maria Valley),Syrah,60.0,750 ml,92,Bien Nacido,"Roasted beef, chipped asphalt and black currant conspire for a very deep and brooding but not overly powerful nose on this bottling from winemaker Trey Fletcher. The palate pops with thyme, rosemary, dried flowers and pepper, with the tangy black plum fruit only emerging with patience. Built to last.",13.6%
Red,US,Sojourn 2015 Sangiacomo Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,59.0,750 ml,92,Sojourn,"Earth, mushroom and forest floor intrigue from sip one in this thick, densely structured effort from the great site. Cardamom, pine needle and cranberry contribute additional intrigue and spiciness to the palate, which is buoyed by bright, lengthy acidity and integrated oak.",14.5%
Red,US,Krupp Brothers 2013 Stagecoach Vineyard Synchrony Red (Napa Valley),Bordeaux-style Red Blend,135.0,750 ml,92,Krupp Brothers,"This is powerful wine made at a high level, a blend of 75% Cabernet Sauvignon, 17% Malbec and 8% Cabernet Franc. Muscular and dense, it offers a rich, ripe succulence of baked plum clafoutis, coconut, blackberry and clove within a dusty, gravelly brawn of dried herb and plush chocolate.",14.5%
Red,US,J. Christopher 2014 Sandra Adele Pinot Noir (Dundee Hills),Pinot Noir,50.0,750 ml,92,J. Christopher,"Principally blended from Abbey Ridge vineyard fruit, this offers red plum and cherry fruit, with a distinct streak of pineapple. Native yeast was employed, along with aging in one-quarter new oak, adding hints of Asian spices. The length and balance are impressive.",13%
Red,US,Migration 2014 Running Creek Vineyard Pinot Noir (Russian River Valley),Pinot Noir,68.0,750 ml,92,Migration,"Made as a barrel and block selection from the producer's own estate vineyard along River Road, this is an inaugural release. It impresses in spicy rose, black tea and geranium, supple in tannin and structure with a robust, full-bodied lushness on the palate that lingers.",14.5%
Red,US,DeLille 2014 Doyenne Red (Yakima Valley),Red Blend,42.0,750 ml,92,DeLille,"Equal parts Cabernet Sauvignon and Syrah, the aromas start out quiet, with notes of cherry, wood spice and dark fruit. The flavors are reserved and polished, showing an exquisite sense of balance and a lingering finish.",14.9%
Red,US,Darioush 2013 Darius II Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,245.0,750 ml,92,Darioush,"Estate vineyards from near the town of Napa and Mount Veeder contribute to this wine, which includes 6% Malbec and 4% Merlot. Big, generous, pillowy tannins meet dust, rock and chalk to confront a wall of spicy, savory flavor and complexity, a mix of cinnamon and black pepper.",14.8%
Red,US,Covington 2012 Ma Belle Olsen Vineyard Red (Yakima Valley),Rhne-style Red Blend,45.0,750 ml,92,Covington,"This wine is 80% Grenache, with the balance equal parts Cinsault and Syrah. It brings very pretty perfumed aromas of dried flowers, herb, plum, olive and earth. The flavors show crystalline purity, completely captivating, with orange peel notes on the finish. It's as much about feel as flavor.",14.6%
White,US,Big Basin 2014 Homestead Block Roussanne (Santa Cruz Mountains),Roussanne,48.0,750 ml,92,Big Basin,"A darker shade of yellow in the glass, this bottling from an Alban clone turns out to be a lighter, more delicate take on Roussanne. Touches of saffron, wax and toasted nuts show on the nose, and that light nutty character does extend to the sip. But the palate also offers apricot and lemon rinds against well measured acidity and a compelling minerality that combines white rocks and hot sand flavors.",13%
Red,US,Avennia 2014 Justine Red (Columbia Valley (WA)),Rhne-style Red Blend,40.0,750 ml,92,Avennia,"This wine is a blend of Grenache (45%), Mourvdre (36%) and 19% Syrah. Reserved aromas of dark berry and herb lead to vibrant fruit flavors that display a lovely sense of texture and detail. The balance and combination of richness and restraint is exquisite, as is the finish. It impresses.",14.9%
Red,US,Y Rousseau 2013 Le Roi Soleil Cabernet Sauvignon (Mount Veeder),Cabernet Sauvignon,90.0,750 ml,92,Y Rousseau,"The addition of 5% Merlot softens this wine, a lovely representation of the wild mountain appellation from a vineyard 2,000-feet up. Juicy and layered, the wine shows restraint and elegance amidst a woodsy forest component of lean, tart fruit and cocoa powder.",14.5%
Red,US,Sbragia 2012 Godspeed Cabernet Sauvignon (Mount Veeder),Cabernet Sauvignon,95.0,750 ml,92,Sbragia,"This is a full-bodied, fully hedonistic and feral wine, integrated in oak and tannin, that show a robust density on the palate of blackberry, wild sage and earth. With its robust ripeness and concentration, it features a brightness of acidity that helps complement its power.",15.3%
Red,US,Robert Biale 2013 E.B.A Petite Sirah (Napa Valley),Petite Sirah,75.0,750 ml,92,Robert Biale,"This wine symbolizes extended barrel aging, thus the name, the winery's holding back of certain barrels for extra aging. This is the incredible result, ready for more time in bottle, a thick, dense and smoothly layered expression of red raspberry, fig, plum and coconut. Structured, it'll do well in the cellar, best to be enjoyed from 2023 to 2033.",15.6%
White,US,Phelps Creek 2014 Lynette Chardonnay (Columbia Gorge (OR)),Chardonnay,38.0,750 ml,92,Phelps Creek,"Sleek and distinctive, this is loaded with snappy flavors of lime, green melon and wet stone. The fermentation in French oak (20% new) brings a lick of butterscotch to the finish.",13.8%
Red,US,Neyers 2015 Roberts Road Pinot Noir (Sonoma Coast),Pinot Noir,45.0,750 ml,92,Neyers,"Cinnamon red hots and a depth of forested pine greet the nose in this compelling, medium-bodied wine, which is wholly exotic in approach. Asian spice and a nutty character form flavor and texture amidst a light, delicate ripeness of fruit and tannin.",14.1%
Red,US,J. Christopher 2014 Abbey Ridge Pinot Noir (Dundee Hills),Pinot Noir,60.0,750 ml,92,J. Christopher,"Bold and spicy, this vineyard selection impresses with dusty tangy red and purple fruits. They are elevated with pineapple and citrus flavors from supporting acidity. The length and complexity are excellent, as is the entire lineup of 2014 Pinots from J. Christopher.",13%
Red,US,Hewitt 2013 Estate Grown Cabernet Sauvignon (Rutherford),Cabernet Sauvignon,150.0,750 ml,92,Hewitt,"Sizzling acidity lies beneath a density of ripe, smooth and rounded texture, the dusty flavors rich in black cherry, berry and dark chocolate.",15.3%
White,US,Domaine Divio 2015 Chardonnay (Willamette Valley),Chardonnay,50.0,750 ml,92,Domaine Divio,"Winemaker Bruno Corneaux keeps a tight grip on alcohol levels, without sacrificing ripeness, flavor or balance. This aromatically compelling wine jumps up with scents of sea breeze, toasted nuts and buttered popcorn. Flavors follow, with apples, vanilla and toast coming to a full-bodied lingering finish. There's ample length and tension to age gracefully for another decade.",13%
Red,US,Freemark Abbey 2012 Sycamore Vineyard Cabernet Sauvignon (Rutherford),Cabernet Sauvignon,125.0,750 ml,92,Freemark Abbey,"A classically styled, beautifully made red, this is defined by its well-chiseled structure and sanguine characteristics, as well as notes of cranberry, dried herb and anise. Lush and full-bodied, it has additional elements of pencil shavings and meaty game, complex and interesting to the end. Enjoy best 2022 through 2032.",14.5%
Red,US,Las Positas 2013 Estate Red (Livermore Valley),Red Blend,45.0,750 ml,92,Las Positas,"A very deep color and smoky, meaty aromas get this full-bodied wine off to a great start, then saturated blackberry, blueberry and espresso flavors kick in. All that fruit comes in a firm package of fine-grained tannins to add welcome texture, and the concentration of flavor lingers on the finish, too.",14.5%
Red,US,Two Vintners 2013 Oliver Red (Columbia Valley (WA)),Red Blend,50.0,750 ml,92,Two Vintners,"Petite Sirah makes up 60% of this wine, with the rest equal parts Syrah and Grenache. It brings aromas of herb, cherry, black licorice and spice. The palate is dense and structured, with layers of dark fruit flavors.",14.9%
Red,US,Anam Cara 2014 Mark VIII Pinot Noir (Chehalem Mountains),Pinot Noir,70.0,750 ml,92,Anam Cara,"As the label indicates, this is the eighth edition of this top-level reserve (none was made in 2013). It's given 40% new oak, and tasted alongside the winery's other 2014 Pinots it's clearly the most concentrated, with plush fruit, sweet spice, and highlights of tobacco and vanilla. Drink now through the early 2020s.",14.2%
Red,US,Two Vintners 2013 Oliver Red (Columbia Valley (WA)),Red Blend,50.0,750 ml,92,Two Vintners,"Petite Sirah makes up 60% of this wine, with the rest equal parts Syrah and Grenache. It brings aromas of herb, cherry, black licorice and spice. The palate is dense and structured, with layers of dark fruit flavors.",14.9%
