"12/9 1:00 ET" "At Green Bay" -10.5 Oakland 40.5 "-$575 +$425" 2007 14
"12/9 4:15 ET" "At New England" -11 Pittsburgh 49 "-$550 +$400" 2007 14
"12/9 1:00 ET" "San Diego" -1.5 "At Tennessee" 40 "-$125 +$105" 2007 14
"12/9 1:00 ET" "At Cincinnati" -10 "St. Louis" 45.5 "-$550 +$400" 2007 14
"12/9 1:00 ET" "Tampa Bay" -3 "At Houston" 40 "-$150 +$130" 2007 14
"12/9 4:05 ET" "At Seattle" -7.5 Arizona 44.5 "-$340 +$280" 2007 14
"12/9 4:05 ET" Minnesota -8.5 "At San Francisco" 39 "-$370 +$300" 2007 14
"12/9 4:15 ET" Cleveland -3.5 "At NY Jets" 47.5 "-$175 +$155" 2007 14
"12/9 4:15 ET" "At Denver" -7.5 "Kansas City" 37.5 "-$350 +$270" 2007 14
"12/9 8:15 ET" Indianapolis -8.5 "At Baltimore" 42 "-$390 +$310" 2007 14
"12/10 8:30 ET" "New Orleans" -4 "At Atlanta" 44 "-$210 +$175" 2007 14
"12/7 8:00 ET" "At Pittsburgh" -7 Cleveland 34 "-$340 +$280" 2006 14
"12/10 1:00 ET" "At Kansas City" -3 Baltimore 37 "-$145 +$125" 2006 14
"12/10 1:00 ET" Atlanta -3.5 "At Tampa Bay" 37.5 "-$200 +$175" 2006 14
"12/10 1:00 ET" "At Detroit" -1.5 Minnesota 40 "-$125 +$105" 2006 14
"12/10 1:00 ET" "At Houston" -1 Tennessee 42.5 "-$125 +$105" 2006 14
"12/10 1:00 ET" "NY Giants" -3 "At Carolina" 39 "-$155 +$135" 2006 14
"12/10 8:15 ET" "At Dallas" -7.5 "New Orleans" 47.5 "-$335 +$265" 2006 14
"12/10 4:15 ET" "At NY Jets" -4.5 Buffalo 37.5 "-$235 +$195" 2006 14
"12/10 1:00 ET" Indianapolis -1 "At Jacksonville" 44 "-$115 -$105" 2006 14
"12/10 1:00 ET" Philadelphia -2 "At Washington" 40.5 "-$145 +$125" 2006 14
"12/10 1:00 ET" "At Cincinnati" -11 Oakland 40 "-$650 +$475" 2006 14
"12/10 1:00 ET" "New England" -3.5 "At Miami" 37 "-$185 +$165" 2006 14
"12/10 4:05 ET" "At San Francisco" -4 "Green Bay" 44 "-$200 +$175" 2006 14
"12/10 4:05 ET" Seattle -3 "At Arizona" 44.5 "-$165 +$145" 2006 14
"12/10 4:15 ET" "At San Diego" -7.5 Denver 41 "-$360 +$290" 2006 14
"12/11 8:30 ET" Chicago -6 "At St. Louis" 41.5 "-$275 +$225" 2006 14
"12/15 8:25 ET" "At Seattle" -15.5 "Los Angeles" 39.5 "-$1600 +$900" 2016 15
"12/17 8:25 ET" Miami -2.5 "At NY Jets" 39.5 "-$135 +$115" 2016 15
"12/18 8:30 ET" "At Dallas" -7 "Tampa Bay" 47.5 "-$300 +$250" 2016 15
"12/18 1:00 ET" "At NY Giants" -4 Detroit 42 "-$210 +$180" 2016 15
"12/18 1:00 ET" "At Baltimore" -5 Philadelphia 41 "-$240 +$200" 2016 15
"12/18 1:00 ET" "Green Bay" -4.5 "At Chicago" 40.5 "-$225 +$190" 2016 15
"12/18 1:00 ET" "At Minnesota" -5 Indianapolis 45 "-$235 +$195" 2016 15
"12/18 1:00 ET" "At Buffalo" -10.5 Cleveland 43 "-$550 +$400" 2016 15
"12/18 1:00 ET" "At Kansas City" -6 Tennessee 43 "-$250 +$210" 2016 15
"12/18 1:00 ET" "At Houston" -3.5 Jacksonville 39.5 "-$190 +$165" 2016 15
"12/18 4:05 ET" "At Arizona" -3 "New Orleans" 48 "-$160 +$140" 2016 15
"12/18 4:05 ET" "At Atlanta" -13.5 "San Francisco" 51.5 "-$1100 +$700" 2016 15
"12/18 4:25 ET" "New England" -3 "At Denver" 43.5 "-$160 +$140" 2016 15
"12/18 4:25 ET" Oakland -2.5 "At San Diego" 50 "-$140 +$120" 2016 15
"12/18 1:00 ET" Pittsburgh -3 "At Cincinnati" 46 "-$165 +$145" 2016 15
"12/19 8:30 ET" "At Washington" -7 Carolina 51 "-$310 +$260" 2016 15
"12/17 8:25 ET" "At St. Louis" -1 "Tampa Bay" 41 "-$120 +$100" 2015 15
"12/19 8:25 ET" "NY Jets" -3.5 "At Dallas" 41 "-$170 +$150" 2015 15
"12/20 1:00 ET" "At Minnesota" -4 Chicago 44 "-$210 +$180" 2015 15
"12/20 1:00 ET" "At Jacksonville" -2 Atlanta 48 "-$130 +$110" 2015 15
"12/20 1:00 ET" "At Indianapolis" -2 Houston 41.5 "-$130 +$110" 2015 15
"12/20 1:00 ET" "Kansas City" -6.5 "At Baltimore" 41 "-$290 +$240" 2015 15
"12/20 1:00 ET" Buffalo -2 "At Washington" 46 "-$130 +$110" 2015 15
"12/20 1:00 ET" "At New England" -14.5 Tennessee 48 "-$1400 +$800" 2015 15
"12/20 8:30 ET" Arizona -4 "At Philadelphia" 51.5 "-$205 +$175" 2015 15
"12/20 1:00 ET" Carolina -5 "At NY Giants" 46.5 "-$225 +$185" 2015 15
"12/20 4:05 ET" "At Seattle" -14.5 Cleveland 45.5 "-$1500 +$850" 2015 15
"12/20 4:05 ET" "Green Bay" -4 "At Oakland" 47 "-$210 +$180" 2015 15
"12/20 4:25 ET" "At San Diego" -1 Miami 47 "-$120 +$100" 2015 15
"12/20 4:25 ET" "At Pittsburgh" -7.5 Denver 45.5 "-$340 +$280" 2015 15
"12/20 4:25 ET" Cincinnati -6.5 "At San Francisco" 41 "-$290 +$245" 2015 15
"12/21 8:30 ET" "At New Orleans" -2.5 Detroit 52 "-$140 +$120" 2015 15
"12/11 8:25 ET" "At St. Louis" -6 Arizona 40.5 "-$265 +$225" 2014 15
"12/14 1:00 ET" "At Kansas City" -11 Oakland 41.5 "-$650 +$450" 2014 15
"12/14 1:00 ET" "At Baltimore" -14 Jacksonville 44.5 "-$1150 +$700" 2014 15
"12/14 1:00 ET" Pittsburgh -3 "At Atlanta" 55.5 "-$155 +$135" 2014 15
"12/14 1:00 ET" "At Indianapolis" -7 Houston 49 "-$330 +$270" 2014 15
"12/14 1:00 ET" "At Cleveland" -2 Cincinnati 43.5 "-$135 +$115" 2014 15
"12/14 1:00 ET" "At New England" -9 Miami 48 "-$460 +$380" 2014 15
"12/14 1:00 ET" "At Carolina" -3.5 "Tampa Bay" 41.5 "-$180 +$160" 2014 15
"12/14 1:00 ET" "At NY Giants" -7 Washington 46.5 "-$310 +$260" 2014 15
