"","btc_usd","usd_vol","btc_eur","eur_vol","btc_cad","cad_vol","btc_aud","aud_vol","btc_gbp","gbp_vol","btc_jpy","jpy_vol","btc_cny","cny_vol","btc_brl","brl_vol","btc_rub","rub_vol","btc_sll","sll_vol","USDEUR","USDGBP","USDCAD","USDJPY","USDAUD","USDCNY","USDRUB","USDSLL","oil","gold","VTWSX","EEM","EFA","XCI","btc_USDEUR","btc_USDGBP","btc_USDCAD","btc_USDAUD","btc_USDJPY","btc_USDCNY","btc_USDRUB","btc_USDBRL","btc_USDSLL"
"61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74571,0.67123,1.02626,92.507004,1.1057,6.817,29.586,NA,NA,NA,15.307702,35.767208,44.966232,902.409973,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74178,0.66747,1.02131,92.489998,1.0908,6.8167,29.4795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74493,0.66339,1.0189,92.82,1.0886,6.8161,29.509501,NA,NA,NA,15.444299,36.411198,45.346954,901.869995,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7403,0.6586,1.0156,93.519997,1.0922,6.8159,29.4235,NA,NA,NA,15.444299,36.55043,45.346954,906.280029,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73616,0.65394,1.0083,93.849998,1.0862,6.8164,29.352501,NA,NA,NA,15.427227,36.654865,45.346954,900.23999,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74047,0.65746,1.0102,94.529999,1.0874,6.8164,29.235001,NA,NA,NA,15.640663,37.612152,46.148914,899.97998,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74134,0.65368,1.0019,94.330002,1.0859,6.8164,29.1702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74616,0.65484,1.0009,93.793999,1.0778,6.816,29.315001,NA,NA,NA,15.708965,37.951542,46.19751,908.619995,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74915,0.65608,1.0043,93.308998,1.0785,6.8154,29.302,NA,NA,NA,15.726039,38.064671,46.067913,908.97998,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74844,0.65432,1.0014,93.419998,1.0764,6.8155,29.418501,NA,NA,NA,15.640663,37.733974,45.743889,908.23999,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74069,0.65062,1.0023,93.160004,1.0712,6.8134,29.135,NA,NA,NA,15.649201,37.864506,45.695282,909.919983,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.802873,38.099476,46.294731,917.950012,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73551,0.65045,1.0027,93.182999,1.0792,6.8159,29.007999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73483,0.65029,1.0014,93.18,1.0776,6.8161,29.014999,NA,NA,NA,15.819949,37.794895,46.440536,920.710022,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.73228,0.64632,0.9983,93.318001,1.0684,6.8159,28.9664,NA,NA,NA,15.811413,37.716572,46.400032,924.830017,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7367,0.6466,1.0019,93.040001,1.0707,6.8158,28.9925,NA,NA,NA,15.9907,38.273529,47.015686,939.330017,NA,NA,NA,NA,NA,NA,NA,NA,NA
