gross,date_c,name,rate,budget,Director,length,actors,open_week,year,genre
"        $14,036,249        

      ","PG,1997-10-24",FairyTale: A True Story,"6.5 based on 4,846 user ratings",,Charles Sturridge,PT99M,"Paul McGann,Florence Hoath,Elizabeth Earl","         $3,515,323        

      (USA)
      ",1997,"Drama,Family,Fantasy"
"        $12,065,985        

      ","PG,1998-10-09",Holy Man,"4.9 based on 16,865 user ratings","        $60,000,000        

      ",Stephen Herek,PT114M,"Eddie Murphy,Jeff Goldblum,Kelly Preston","         $5,106,919        

      (USA)
      ",1998,"Comedy,Drama"
"        $8,109,349        

      ","PG,1997-03-28",Turbo: A Power Rangers Movie,"3.4 based on 6,972 user ratings","        $8,000,000        

      ",Shuki Levy,PT99M,"Jason David Frank,Catherine Sutherland,Hilary Shepard","         $3,301,135        

      (USA)
      ",1997,"Action,Adventure,Family"
"        $8,119,205        

      ","PG,1997-07-11",A Simple Wish,"5.4 based on 4,469 user ratings","        $28,000,000        

      ",Michael Ritchie,PT89M,"Martin Short,Mara Wilson,Robert Pastorelli","         $2,732,880        

      (USA)
      ",1997,"Comedy,Family,Fantasy"
"        $7,061,018        

      ","PG,1996-11-01",Dear God,"5.3 based on 3,222 user ratings","        $22,000,000        

      ",Garry Marshall,PT112M,"Greg Kinnear,Laurie Metcalf,Maria Pitillo","         $3,213,045        

      (USA)
      ",1996,Comedy
"        $13,293,081        

      ","R,1995-08-25",Lord of Illusions,"6.0 based on 11,622 user ratings","        $12,000,000        

      ",Clive Barker,PT109M,"Scott Bakula,Kevin J. O'Connor,Joseph Latimore",,1995,"Horror,Mystery,Thriller"
"        $2,667,163        

      ","PG-13,1994-09-30",The Scout,"5.3 based on 5,142 user ratings",,Michael Ritchie,PT101M,"Albert Brooks,Brendan Fraser,Dianne Wiest",,1994,"Comedy,Drama,Sport"
"        $30,400,000        

      ","PG,1996-03-29",Sgt. Bilko,"5.7 based on 18,371 user ratings","        $39,000,000        

      ",Jonathan Lynn,PT93M,"Steve Martin,Dan Aykroyd,Phil Hartman",,1996,Comedy
"        $4,821,759        

      ","PG-13,1995-09-15",Angus,"6.7 based on 5,673 user ratings",,Patrick Read Johnson,PT90M,"Charlie Talbert,George C. Scott,Kathy Bates",,1995,"Comedy,Drama"
"        $4,611,624        

      ","PG-13,1996-07-26",Joe's Apartment,"5.4 based on 10,965 user ratings","        $13,000,000        

      ",John Payson,PT80M,"Jerry O'Connell,Megan Ward,Billy West","         $1,854,000        

      (USA)
      ",1996,"Comedy,Fantasy,Musical"
"        $11,784,000        

      ","PG,1994-05-06",3 Ninjas Kick Back,"4.3 based on 7,034 user ratings","        $20,000,000        

      ",Charles T. Kanganis,PT93M,"Victor Wong,Max Elliott Slade,Sean Fox",,1994,"Family,Comedy,Action"
"        $28,864,707        

      ","PG,1994-08-12",In the Army Now,"4.8 based on 10,377 user ratings",,Daniel Petrie Jr.,PT91M,"Pauly Shore,Lori Petty,Andy Dick",,1994,"Comedy,War"
"        $38,120,905        

      ","PG-13,1991-08-16",The Doctor,"6.9 based on 4,221 user ratings",,Randa Haines,PT122M,"William Hurt,Christine Lahti,Elizabeth Perkins",,1991,Drama
"        $27,484,464        

      ","PG-13,1993-11-12",My Life,"6.8 based on 8,982 user ratings",,Bruce Joel Rubin,PT117M,"Michael Keaton,Nicole Kidman,Bradley Whitford",,1993,Drama
"        $3,752,426        

      ","PG,1991-05-17",Mannequin: On the Move,"4.1 based on 4,810 user ratings","        $13,000,000        

      ",Stewart Raffill,PT95M,"Kristy Swanson,William Ragsdale,Meshach Taylor",,1991,"Comedy,Fantasy"
"        $7,241,350        

      ","R,1992-01-17",Rush,"6.7 based on 6,527 user ratings","        $17,000,000        

      ",Lili Fini Zanuck,PT120M,"Jason Patric,Jennifer Jason Leigh,Sam Elliott",,1991,"Action,Crime,Drama"
"        $6,507,514        

      ","R,1994-10-28",The Road to Wellville,"5.7 based on 10,053 user ratings","        $25,000,000        

      ",Alan Parker,PT118M,"Anthony Hopkins,Bridget Fonda,Matthew Broderick",,1994,"Comedy,Drama"
"        $5,430,822        

      ","R,1992-05-01",Split Second,"6.2 based on 8,898 user ratings","        $7,000,000        

      ",Tony Maylam,PT90M,"Rutger Hauer,Kim Cattrall,Alastair Duncan",,1992,"Action,Crime,Horror"
"        $26,255,594        

      ","PG-13,1991-09-27",Necessary Roughness,"6.1 based on 8,572 user ratings","        $13,500,000        

      ",Stan Dragoti,PT108M,"Scott Bakula,Hector Elizondo,Robert Loggia",,1991,"Comedy,Sport"
"        $16,324,573        

      ","R,1990-05-04",Tales from the Darkside: The Movie,"6.2 based on 11,689 user ratings","        $3,500,000        

      ",John Harrison,PT93M,"Debbie Harry,Matthew Lawrence,Christian Slater",,1990,"Comedy,Fantasy,Horror"
