Date,Bid,Ask,Mid,Change,% Change,Cumulative Change %,High,Low
05/05/16,0.015027,0.015029,0.015028,0.00,0.10,-92.81,0.015028,0.015028
05/04/16,0.015012,0.015014,0.015013,0.00,-0.23,-92.82,0.015013,0.015013
05/03/16,0.015047,0.015049,0.015048,0.00,-0.06,-92.80,0.015048,0.015048
05/02/16,0.015056,0.015058,0.015057,0.00,-0.13,-92.80,0.015057,0.015057
04/29/16,0.015075,0.015077,0.015076,0.00,0.29,-92.79,0.015076,0.015076
04/28/16,0.015031,0.015033,0.015032,0.00,-0.11,-92.81,0.015032,0.015032
04/27/16,0.015047,0.015049,0.015048,0.00,0.11,-92.80,0.015048,0.015048
04/26/16,0.015031,0.015033,0.015032,0.00,0.23,-92.81,0.015032,0.015032
04/25/16,0.014997,0.014999,0.014998,0.00,-0.21,-92.82,0.014998,0.014998
04/22/16,0.015029,0.015031,0.015030,0.00,-0.26,-92.81,0.015030,0.015030
04/21/16,0.015067,0.015069,0.015068,0.00,-0.23,-92.79,0.015068,0.015068
04/20/16,0.015101,0.015103,0.015102,0.00,0.51,-92.77,0.015102,0.015102
04/19/16,0.015024,0.015026,0.015025,0.00,0.00,-92.81,0.015025,0.015025
04/18/16,0.015024,0.015026,0.015025,0.00,0.08,-92.81,0.015025,0.015025
04/15/16,0.015013,0.015015,0.015014,0.00,0.00,-92.82,0.015014,0.015014
04/14/16,0.015013,0.015015,0.015014,0.00,0.00,-92.82,0.015014,0.015014
04/13/16,0.015013,0.015015,0.015014,0.00,-0.23,-92.82,0.015014,0.015014
04/12/16,0.015048,0.015050,0.015049,0.00,0.00,-92.80,0.015049,0.015049
04/11/16,0.015048,0.015051,0.015049,0.00,0.12,-92.80,0.015049,0.015049
04/08/16,0.015030,0.015032,0.015031,0.00,0.00,-92.81,0.015031,0.015031
04/07/16,0.015030,0.015032,0.015031,0.00,0.23,-92.81,0.015031,0.015031
04/06/16,0.014995,0.014997,0.014996,0.00,-0.30,-92.82,0.014996,0.014996
04/05/16,0.015040,0.015042,0.015041,0.00,-0.38,-92.80,0.015041,0.015041
04/04/16,0.015097,0.015099,0.015098,0.00,-0.02,-92.78,0.015098,0.015098
04/01/16,0.015099,0.015102,0.015101,0.00,0.00,-92.77,0.015101,0.015101
03/31/16,0.015099,0.015102,0.015101,0.00,0.23,-92.77,0.015101,0.015101
03/30/16,0.015064,0.015066,0.015065,0.00,0.17,-92.79,0.015065,0.015065
03/29/16,0.015038,0.015040,0.015039,0.00,0.13,-92.80,0.015039,0.015039
03/28/16,0.015018,0.015021,0.015020,0.00,0.17,-92.81,0.015020,0.015020
03/25/16,0.014993,0.014995,0.014994,0.00,0.00,-92.83,0.014994,0.014994
03/24/16,0.014993,0.014995,0.014994,0.00,0.00,-92.83,0.014994,0.014994
03/23/16,0.014993,0.014995,0.014994,0.00,0.06,-92.83,0.014994,0.014994
03/22/16,0.014984,0.014986,0.014985,0.00,-0.38,-92.83,0.014985,0.014985
03/21/16,0.015041,0.015043,0.015042,0.00,0.10,-92.80,0.015042,0.015042
03/18/16,0.015026,0.015028,0.015027,0.00,0.21,-92.81,0.015027,0.015027
03/17/16,0.014994,0.014996,0.014995,0.00,0.82,-92.82,0.014995,0.014995
03/16/16,0.014872,0.014874,0.014873,0.00,0.23,-92.88,0.014873,0.014873
03/15/16,0.014838,0.014841,0.014840,0.00,-0.42,-92.90,0.014840,0.014840
03/14/16,0.014901,0.014902,0.014901,0.00,0.00,-92.87,0.014901,0.014901
03/11/16,0.014900,0.014902,0.014901,0.00,-0.10,-92.87,0.014901,0.014901
03/10/16,0.014915,0.014918,0.014916,0.00,0.25,-92.86,0.014916,0.014916
03/09/16,0.014878,0.014880,0.014879,0.00,0.26,-92.88,0.014879,0.014879
03/08/16,0.014839,0.014841,0.014840,0.00,-0.33,-92.90,0.014840,0.014840
03/07/16,0.014888,0.014890,0.014889,0.00,0.00,-92.88,0.014889,0.014889
03/04/16,0.014888,0.014890,0.014889,0.00,0.28,-92.88,0.014889,0.014889
03/03/16,0.014847,0.014849,0.014848,0.00,0.36,-92.90,0.014848,0.014848
03/02/16,0.014793,0.014795,0.014794,0.00,0.49,-92.92,0.014794,0.014794
03/01/16,0.014721,0.014723,0.014722,0.00,0.74,-92.96,0.014722,0.014722
02/29/16,0.014613,0.014616,0.014615,0.00,0.44,-93.01,0.014615,0.014615
02/26/16,0.014550,0.014552,0.014551,0.00,0.00,-93.04,0.014551,0.014551
02/25/16,0.014550,0.014552,0.014551,0.00,-0.23,-93.04,0.014551,0.014551
02/24/16,0.014584,0.014586,0.014585,0.00,-0.03,-93.02,0.014585,0.014585
02/23/16,0.014588,0.014590,0.014589,0.00,0.03,-93.02,0.014589,0.014589
02/22/16,0.014583,0.014585,0.014584,0.00,-0.10,-93.02,0.014584,0.014584
02/19/16,0.014597,0.014600,0.014599,0.00,0.00,-93.01,0.014599,0.014599
02/18/16,0.014597,0.014600,0.014599,0.00,-0.12,-93.01,0.014599,0.014599
02/17/16,0.014616,0.014618,0.014617,0.00,-0.02,-93.01,0.014617,0.014617
02/16/16,0.014619,0.014621,0.014620,0.00,-0.53,-93.00,0.014620,0.014620
02/15/16,0.014697,0.014699,0.014698,0.00,0.25,-92.97,0.014698,0.014698
02/12/16,0.014661,0.014663,0.014662,0.00,0.16,-92.98,0.014662,0.014662
