"","player_name","FG.Percent","FG.Count","ThreePoint.Percent","Three.Count"
"119","jonas jerebko",0.471615720524017,229,0.41304347826087,92
"120","jordan farmar",0.382165605095541,157,0.354166666666667,96
"121","jordan hill",0.464344941956882,603,0.25,4
"122","jose calderon",0.416666666666667,336,0.401515151515151,132
"123","jose juan barea",0.421951219512195,410,0.338461538461538,130
"124","jrue holiday",0.44689378757515,499,0.376,125
"125","jusuf nurkic",0.441780821917808,292,0,1
"126","kawhi leonard",0.456740442655936,497,0.32,125
"127","kelly olynyk",0.504477611940298,335,0.35,100
"128","kemba walker",0.406015037593985,665,0.338709677419355,186
"129","kenneth faried",0.493041749502982,503,0.333333333333333,3
"130","kent bazemore",0.443298969072165,194,0.417910447761194,67
"131","kentavious caldwell-pope",0.406060606060606,660,0.366013071895425,306
"132","kevin garnett",0.468227424749164,299,0.142857142857143,7
"133","kevin love",0.435419440745672,751,0.366666666666667,300
"134","khris middleton",0.481412639405204,538,0.418300653594771,153
"135","kirk hinrich",0.356435643564356,303,0.303030303030303,132
"136","kj mcdaniels",0.398058252427184,412,0.294520547945205,146
"137","klay thompson",0.46723044397463,946,0.445012787723785,391
"138","kobe bryant",0.370689655172414,696,0.29608938547486,179
"139","kostas papanikolaou",0.35672514619883,171,0.273809523809524,84
"140","kris humphries",0.475826972010178,393,0,4
"141","kyle korver",0.488120950323974,463,0.491228070175439,342
"142","kyle lowry",0.415599534342258,859,0.319354838709677,310
"143","Kyle O'quinn",0.497584541062802,207,0.289473684210526,38
"144","kyle singler",0.396825396825397,378,0.401960784313726,204
"145","kyrie irving",0.471101417666303,917,0.414634146341463,287
"146","lamarcus aldridge",0.450581395348837,1032,0.373134328358209,67
"147","lance stephenson",0.365566037735849,424,0.146341463414634,82
"148","leandro barbosa",0.479674796747967,246,0.380281690140845,71
"149","lebron james",0.49468085106383,940,0.352941176470588,238
"150","lou williams",0.410060975609756,656,0.339563862928349,321
"151","luc mbah a moute",0.416666666666667,480,0.292857142857143,140
"152","luis scola",0.47032967032967,455,0.384615384615385,13
"153","luke babbitt",0.467948717948718,156,0.504854368932039,103
"154","luol deng",0.484403669724771,545,0.36551724137931,145
"155","manu ginobili",0.43064182194617,483,0.355769230769231,208
"156","marc gasol",0.5,806,0.181818181818182,11
"157","marcin gortat",0.54270462633452,562,0,3
"158","marco belinelli",0.445512820512821,312,0.4,135
"159","marcus morris",0.457198443579767,514,0.413793103448276,203
"160","marcus smart",0.369718309859155,284,0.325581395348837,172
"161","marcus thornton",0.422950819672131,305,0.426229508196721,122
"162","mario chalmers",0.413306451612903,496,0.296511627906977,172
"163","markieff morris",0.469211822660099,812,0.328467153284672,137
"164","marreese speights",0.493927125506073,494,0.2,10
"165","marvin williams",0.451505016722408,299,0.352941176470588,170
"166","mason plumlee",0.590330788804071,393,0,1
"167","matt barnes",0.45,440,0.369477911646586,249
"168","matt bonner",0.404145077720207,193,0.355140186915888,107
"169","matthew dellavedova",0.345,200,0.376146788990826,109
"170","michael carter-williams",0.386748844375963,649,0.253846153846154,130
"171","mike conley",0.451202263083451,707,0.402912621359223,206
"172","mike miller",0.315217391304348,92,0.320512820512821,78
"173","mike scott",0.441926345609065,353,0.363636363636364,143
"174","mirza teletovic",0.382165605095541,314,0.322751322751323,189
"175","mo williams",0.421731123388582,543,0.376146788990826,218
"176","monta ellis",0.45,1040,0.303571428571429,224
"177","nate robinson",0.345177664974619,197,0.261363636363636,88
"178","Nene",0.526205450733753,477,0.2,5
"179","nick collison",0.407582938388626,211,0.230769230769231,52
"180","nick young",0.375,456,0.380281690140845,213
"181","nicolas batum",0.395833333333333,432,0.294642857142857,224
"182","nik stauskas",0.347593582887701,187,0.276595744680851,94
"183","nikola mirotic",0.39943342776204,353,0.346368715083799,179
"184","nikola vucevic",0.529082774049217,894,0.5,2
"185","norris cole",0.398328690807799,359,0.271186440677966,118
"186","O.J. Mayo",0.417422867513612,551,0.357487922705314,207
"187","omri casspi",0.478991596638655,238,0.21875,32
"188","otto porter",0.462093862815884,277,0.363636363636364,66
"189","pablo prigioni",0.420731707317073,164,0.363636363636364,121
"190","patrick beverley",0.380846325167038,449,0.360294117647059,272
"191","patrick patterson",0.464467005076142,394,0.398058252427184,206
"192","pau gasol",0.5,798,0.466666666666667,15
"193","paul millsap",0.474829931972789,735,0.345454545454545,165
"194","paul pierce",0.458413926499033,517,0.391111111111111,225
"195","pero antic",0.373205741626794,209,0.30327868852459,122
"196","pj tucker",0.456185567010309,388,0.348314606741573,178
"197","quincy acy",0.469827586206897,232,0.294117647058824,34
"198","ramon sessions",0.328638497652582,213,0.242424242424242,33
"199","rasual butler",0.43859649122807,399,0.398907103825137,183
"200","ray mccallum",0.429184549356223,233,0.244897959183673,49
"201","reggie jackson",0.424382716049383,648,0.270588235294118,170
"202","richard jefferson",0.436681222707424,229,0.419642857142857,112
"203","robbie hummel",0.491228070175439,114,0.32258064516129,31
"204","robert covington",0.399201596806387,501,0.387543252595156,289
"205","rodney stuckey",0.451612903225806,527,0.390243902439024,82
"206","ronnie price",0.352380952380952,210,0.292929292929293,99
"207","roy hibbert",0.444444444444444,513,0,1
"208","rudy gay",0.450175849941383,853,0.37012987012987,154
"209","russell westbrook",0.437037037037037,945,0.285714285714286,154
"210","ryan anderson",0.407874015748032,635,0.338607594936709,316
"211","serge ibaka",0.471879286694102,729,0.384615384615385,195
"212","shabazz muhammad",0.486979166666667,384,0.4,50
"213","shabazz napier",0.383495145631068,206,0.371428571428571,105
"214","shane larkin",0.428571428571429,273,0.345238095238095,84
"215","shaun livingston",0.53125,256,0,1
"216","shawn marion",0.447368421052632,228,0.275,40
"217","shawne williams",0.437768240343348,233,0.406896551724138,145
"218","solomon hill",0.391397849462366,465,0.314102564102564,156
"219","spencer hawes",0.413897280966767,331,0.326241134751773,141
"220","stephen curry",0.491452991452991,936,0.425339366515837,442
"221","steve blake",0.382222222222222,225,0.366197183098592,142
"222","steven adams",0.546468401486989,269,0,1
"223","terrence ross",0.407942238267148,554,0.363309352517986,278
"224","thabo sefolosha",0.433673469387755,196,0.295081967213115,61
"225","thaddeus young",0.469026548672566,678,0.333333333333333,72
"226","tim duncan",0.502431118314425,617,1,1
"227","tim hardaway jr.",0.389565217391304,575,0.339350180505415,277
"228","timofey mozgov",0.546318289786223,421,0.333333333333333,6
"229","tobias harris",0.461979913916786,697,0.355704697986577,149
"230","tony allen",0.481268011527378,347,0.25,24
"231","tony parker",0.46195652173913,552,0.484375,64
"232","tony snell",0.459821428571429,224,0.411764705882353,119
"233","travis wear",0.421383647798742,159,0.347826086956522,23
"234","trevor ariza",0.376876876876877,666,0.330073349633252,409
"235","trevor booker",0.506289308176101,318,0.351851851851852,54
"236","trey burke",0.382081686429513,759,0.326388888888889,288
"237","ty lawson",0.449093444909344,717,0.379746835443038,158
"238","tyler hansbrough",0.484536082474227,97,0.166666666666667,6
"239","tyreke evans",0.441209406494961,893,0.303030303030303,165
"240","udonis haslem",0.427480916030534,131,0.333333333333333,3
"241","victor oladipo",0.450625869262865,719,0.343949044585987,157
"242","vince carter",0.339416058394161,274,0.282894736842105,152
"243","wayne ellington",0.436320754716981,424,0.366863905325444,169
"244","wesley johnson",0.421166306695464,463,0.375,184
"245","wesley matthews",0.452445652173913,736,0.395881006864989,437
"246","wilson chandler",0.417704011065007,723,0.330188679245283,318
"247","zach lavine",0.440340909090909,352,0.328571428571429,70
"248","zach randolph",0.487730061349693,652,0.333333333333333,6
"249","zaza pachulia",0.433908045977011,348,0,1
